first_name,last_name,dia,mes,ano,matricula,anoIngresso,mesIngresso,curso
Ashlee,Moyler,11,3,1990,1799446,2010,2,VSX
Davis,Friberg,8,1,1987,1150205,2011,1,Qualitative Research
Cassandre,Gray,22,11,1988,1731530,2018,1,Lucene
Brook,Stancer,5,12,1993,1840833,2011,1,Dutch
Liuka,Kidd,15,6,1998,1259975,2010,2,Fundraising
Lorie,Monck,17,1,1990,1507870,2013,1,Operating Systems
Cart,Ifill,1,5,1988,1449445,2016,1,Rhinoceros
Fredia,Girvan,2,2,1991,1121730,2011,2,HD Video
Lishe,Skivington,27,8,1994,1066311,2014,2,Clinical Trials
Gavin,Nehlsen,15,4,1989,1858267,2018,1,Fundraising
Olivier,Fuller,2,12,1990,1874273,2008,1,JDK
Thayne,Mum,2,1,1986,1850283,2010,2,GTK+
Dannye,Kubasiewicz,27,6,1997,1404543,2018,1,ISTQB
Rona,Jurries,10,2,1994,1968743,2017,2,MicroStation
Stormie,McHale,3,1,1994,1135619,2009,1,General Surgery
Lonny,Kalberer,23,2,1997,1373938,2014,2,Software Documentation
Ara,McNysche,20,8,1991,1031461,2012,1,1H NMR
Brooks,Heintzsch,22,4,1991,1998038,2016,2,HUD
Ragnar,Keeler,9,11,1997,1380557,2009,2,SAP BPC
Dawn,Stockow,28,5,1991,1834980,2009,2,PMCS
Barbra,Heinritz,9,8,1988,1906698,2014,1,Windows NT
Donny,Pescud,11,8,1994,1115276,2009,2,Fit-out
Lurette,Stuke,26,11,1991,1099249,2016,2,ICEM CFD
Enos,Critchlow,13,11,1986,1049298,2012,2,VCM
Krystal,Gover,11,12,1995,1491082,2015,2,Twist
Micaela,Frean,9,10,1994,1711478,2016,1,solid-state NMR
Michal,Clarkson,10,10,1986,1625806,2013,2,OTV
Read,Chesterfield,25,10,1999,1764649,2017,2,CSPro
Lothaire,Lawlor,7,5,2001,1607570,2008,2,OGSYS
Kain,MacMarcuis,18,4,1993,1975017,2010,2,VSTO
Mortie,Hawkin,26,11,1999,1349765,2014,2,RMA
Bartholomew,Goodley,7,3,1986,1498274,2016,1,Capital Equipment
Izzy,Sweatman,15,3,1986,1189327,2008,1,CTRS
Hettie,Petherick,13,4,1995,1592416,2008,1,Octave
Sibley,Cayzer,22,8,1997,1717465,2010,2,IHT
Rozanne,Hacon,19,6,1985,1274375,2015,1,Executive Management
Shel,Kleszinski,18,1,1990,1435988,2015,2,Railway
Ki,Yuryatin,17,3,1991,1580243,2009,2,Smart Grid
Terrell,Duchan,16,12,1992,1640014,2017,1,Ecotect
Richard,Ovens,10,9,1985,1342434,2011,2,PyUnit
Janeta,Tungay,17,10,1997,1151841,2018,2,Experion PKS
Kerstin,Longhurst,9,10,1997,1834784,2018,1,VCO
Mac,Eles,27,10,1987,1008923,2017,1,Aerospace Medicine
Enrichetta,Ughi,24,2,1994,1156701,2018,2,Career Counseling
Rupert,Emtage,27,5,1987,1117144,2013,1,Employment Law
Sashenka,Brockelsby,12,6,1988,1894606,2018,2,MMS
Ethan,Everley,25,7,1992,1613192,2016,1,LPIC
Wayne,Wooldridge,4,1,1986,1089603,2010,1,Early Childhood Literacy
Rolland,Walling,23,2,1999,1031838,2018,2,Yellow Belt
Fayre,Cobson,6,11,1994,1100360,2010,1,Helicopters
Felipa,Colaco,1,6,1991,1730169,2016,2,BPA
Pietro,Wooderson,11,2,1999,1796977,2009,1,Requirements Gathering
Angelia,Volage,16,7,1995,1787911,2016,1,Performing Arts
Mack,Boosey,3,9,1997,1039225,2014,2,Home Equity Lines of Credit
Alexia,Meijer,13,6,1994,1902777,2013,2,LLDP
Gilberta,Shepperd,25,11,1998,1489334,2010,2,Omnis
Park,Flaherty,28,6,1988,1999833,2015,1,PnL Management
Jaquelin,McAuley,17,10,1991,1057448,2008,1,MXML
Rachele,Branch,18,4,1990,1476065,2013,2,FCS
Ricoriki,Andrichuk,5,11,1988,1258595,2016,1,Affirmative Action
Kiersten,Loch,4,7,1987,1099046,2009,2,Current Affairs
Von,Gariff,9,3,1998,1302491,2009,2,ICP-OES
Herold,Giovanetti,25,8,1994,1780034,2013,1,NFS
Tory,Labes,16,10,1999,1034463,2009,1,Wicklander-Zulawski Interview &amp; Interrogation
Brinn,Barrim,17,8,1992,1013426,2010,2,Automotive Aftermarket
Brittni,Hinz,25,4,1992,1724370,2016,2,BDMS
Chloette,Jochanany,14,6,1988,1935959,2016,1,Kickboxing
Lorilee,Patriche,24,2,2001,1452489,2012,1,Engineering
Jdavie,Varnham,20,5,1995,1750417,2008,2,JiBX
Marcelia,Swalwell,18,4,1991,1157278,2018,1,FCL
Adelind,Swinfen,18,12,1996,1621303,2011,2,EEO Investigations
Joshia,Toma,16,9,1986,1895462,2018,2,Real Estate Due Diligence
Mitchell,Butchard,15,9,1986,1392055,2018,1,Data Analysis
Chevalier,Stolberger,16,7,1986,1844103,2015,2,MRDs
Bren,Chicchetto,3,11,1996,1132281,2010,1,RC
Bengt,Caldroni,22,9,1995,1759942,2014,2,MCNP
Jeramie,Eastcott,17,7,1998,1042933,2009,2,Procurement
Jeana,Naptin,8,12,2000,1559481,2014,1,Adolescents
Aldis,Wapol,5,10,1999,1176855,2011,2,EPA
Bren,Parres,5,8,1985,1169476,2009,2,Twist
Micah,Dane,20,3,2001,1859775,2010,2,Ethernet
Nessie,Haynesford,27,11,1999,1372948,2009,2,Waxing
