first_name,last_name,dia,mes,ano,matSIAPE,departamento
Letizia,Morteo,10,8,1965,6152381,Lutherische Theologische Hochschule Oberursel
Genna,Morsey,27,9,1976,6735871,Akdeniz University
Alex,Mohan,22,12,1947,4159441,University Institute of Oriental Studies
Loleta,Handlin,23,9,1943,3329141,Universidad Autónoma de Fresnillo
Zorah,Hatcher,2,9,1990,8311898,Johnson & Wales University
Parrnell,McLukie,23,12,1970,7744019,Rhodes University
Ignatius,Karpmann,4,10,1946,2000482,Brigham Young University
Demetrius,Eilhermann,25,7,1944,8377555,Karolinska Institute Stockholm
Heddi,Skipton,9,3,1944,8655151,Namik Kemal University
Kurtis,Ginsie,7,5,1966,9861032,Australian Catholic University
Lisha,Simonou,8,10,1978,6825568,Port Said University
Munroe,Bottelstone,15,4,1947,1808022,Lasell College
Amalie,Wooddisse,2,4,1951,3566706,Université de Kisangani
Ingra,De Blasio,23,2,1959,7953117,University College Cork
Brietta,Stilwell,24,8,1952,7718934,Lake Forest College
Coralyn,Dayes,3,11,1962,3945602,Universidad Autónoma de Nuevo León
Ruthie,Follacaro,4,4,1986,8633403,Universidad Nacional Abierta y a Distancia
Viola,Rabat,23,11,1960,9238494,American Academy of Nutrition
Vikki,Baversor,5,1,1971,9619479,Universidade Federal de Santa Maria
Rikki,Pearcy,11,8,1962,1261368,Comilla University
Chauncey,Cordeix,1,5,1947,2469380,Fachhochschule Kufstein (Tirol)
Lay,Ledeker,26,12,1949,7009036,The Illinois Institute of Art-Chicago
Sibella,Finan,18,4,1983,9408846,Trent University
Rozalin,Chalcot,6,2,1954,5894695,Liaoning Technical University
Rockwell,Berens,20,10,1962,8663196,University of the Visayas
Lonni,Fawcus,17,1,1984,5317021,St. John Fisher College
Abagael,Zylbermann,17,10,1983,9677036,Ecole Superieure des Télécommunications
Adler,Edds,19,6,1959,9783262,Hartford Graduate Center (Rensselaer at Hartford)
Max,Bushel,26,5,1960,2956244,Alaska Pacific University
Lenore,Blaxton,16,2,1986,5803568,Kossuth Lajos University
Ingamar,Ingilson,7,4,1947,4069210,Liverpool John Moores University
Ethelda,Davydychev,12,9,1966,1024707,Turin Polytechnic University In Tashkent
Ofelia,Seebright,1,2,1940,5531518,Universidad San Marcos
Hamid,Pesselt,8,11,1960,9260195,Vikram University
Bret,MacNish,23,8,1980,8774248,Edogawa University
Alastair,Gannon,5,3,1959,6949408,St. John Fisher College
Dill,Planks,25,8,1942,1817451,Universitas Negeri Padang
Blondie,Pickin,27,12,1973,2079007,"Moscow State University of Economics, Statistics and Informatics"
Sella,Silley,18,12,1957,1081436,Uganda Christian University
Elise,Bartlomiej,2,2,1952,5646078,Hamline University
Myrah,Coyish,3,3,1948,9051473,Houdegbe North American University Benin
Ignacio,Pashenkov,5,2,1968,8496909,Symbiosis International University
Rolf,Heffernan,28,12,1981,3562157,Shinawatra University
Michaeline,Heintsch,13,7,1973,5783343,Jumeira University
Cary,Cobbold,24,10,1941,9750869,Central University of Finance and Economics
Catie,Anton,4,4,1962,3439798,Universidad Internacional de Integración de América Latina
Pail,Gready,9,7,1960,1344389,Baqai Medical University
Alair,Paudin,17,3,1983,2575388,North Ossetian State University
Loren,Highnam,28,2,1987,9281253,Hochschule Zittau/Görlitz (FH)
Trev,Videler,11,11,1986,8311722,Blue Mountain College
Chloris,Roughley,17,2,1968,9476168,Lagrange College
Ansel,Ord,22,11,1988,4330410,University of Northampton
Edyth,McCafferty,6,9,1955,9447688,Korea Advanced Institute of Science & Technology
Hobie,Adger,20,8,1944,8889794,Universitas Lampung
